Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2574,,5249,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,145857,,245723,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,666,,1194,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,9656,,7126,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,423234,,373171,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,35000,,28949,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,7080,,7188,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,234106,,164518,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,528,Netherlands,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1311,,3283,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,5130,,890,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,52488,,55548,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,316,,184,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,73560,,100765,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2899,,2769,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,21000,,16203,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,6523,,19967,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,414,Kuwait,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,8,,3,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,512,Oman,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,100,,22,,,0
